student_ID,wave,stwm
888834,5,114.6
888913,1,44.53
888913,2,0
888913,3,0
888913,4,34.15
888913,5,157.49
888914,1,0
888914,2,77.34
888914,3,7.15
888914,4,0
888914,5,120.07
888916,1,0
888916,2,22.82
888916,3,0
888916,4,0
888916,5,0
888917,1,0
888917,2,36.58
888917,3,0
888917,4,0
888917,5,25.86
888918,1,0
888918,2,0
888918,3,0
888918,4,0
888918,5,28.79
888919,1,0
888919,2,0
888919,3,0
888919,4,0
888919,5,0
888920,1,0
888920,2,72.99000000000001
888920,3,32.91
888920,4,78.36
888920,5,35.33
888921,1,0.04
888921,2,80.87
888921,3,66.78
888921,4,0
888921,5,87.94
888922,1,0
888922,2,0
888922,3,0
888922,4,0
888922,5,0
888923,1,0
888923,2,72.68
888923,3,0
888923,4,0
888923,5,0
888924,1,0
888924,2,0
888924,3,43.31
888924,4,0
888924,5,151.12
888925,1,0
888925,2,0
888925,3,0
888925,4,0
888925,5,34.230000000000004
888926,1,59.65
888926,2,37.16
888926,3,23.72
888926,4,58.870000000000005
888926,5,0
888927,1,0
888927,2,88.25
888927,3,55.510000000000005
888927,4,58.15
888927,5,17.02
889013,1,36.68
889013,2,26.560000000000002
889013,3,31.650000000000002
889013,4,0
889013,5,0
889014,1,26.54
889014,2,0
889014,3,0
889014,4,0
889014,5,0
889015,1,0
889015,2,0
889015,3,0
889015,4,58.57
889015,5,0
889016,1,0
889016,2,0
889016,3,0
889016,4,0
889016,5,39.940000000000005
889017,1,0
889017,2,84.82
889017,3,0
889017,4,0
889017,5,0.03
889018,1,0
889018,2,73.06
889018,3,42.309999999999995
889018,4,0
889018,5,56.26
889019,1,58.669999999999995
889019,2,22.55
889019,3,55.5
889019,4,37.52
889019,5,0
889020,1,63.68
889020,2,70.39
889020,3,23.79
889020,4,26.48
889020,5,119.67
889021,1,0
889021,2,43.8
889021,3,0
889021,4,0
889021,5,302.73
889022,1,0.59
889022,2,0
889022,3,0
889022,4,0
889022,5,143.56
889023,1,38.86
889023,2,57.790000000000006
889023,3,0.42
889023,4,46.620000000000005
889023,5,99.53
889025,1,38.06
889025,2,45.61
889025,3,38.85
889025,4,59.37
889025,5,17.330000000000002
889026,1,60.11
889026,2,36.839999999999996
889026,3,0
889026,4,112.88
889026,5,0
889027,1,0
889027,2,10.16
889027,3,41.6
889027,4,37.06
889027,5,0
889028,1,63.629999999999995
889028,2,45.88
889028,3,27.64
889028,4,43.19
889028,5,38.31
889029,1,44.46
889029,2,29.439999999999998
889029,3,5.94
889029,4,0
889029,5,33.51
889030,1,54.08
889030,2,70.34
889030,3,89.78
889030,4,57.650000000000006
889030,5,312.21
889031,1,0
889031,2,37.56
889031,3,18.84
889031,4,30.520000000000003
889031,5,29.41
889032,1,0
889032,2,0
889032,3,0
889032,4,0
889032,5,0
889033,1,0
889033,2,16.55
889033,3,0
889033,4,0
889033,5,13.85
889113,1,60.120000000000005
889113,2,0
889113,3,23.75
889113,4,39.21
889113,5,142.12
NA,1,1.44
NA,2,0
NA,3,0
NA,4,4.6
NA,5,0
